figure,channel,time,value,weight
fig11,dc_bus_voltage_v,6.550000,339.666667,1.0
fig11,dc_bus_voltage_v,6.600000,339.666667,1.0
fig11,dc_bus_voltage_v,6.650000,342.166667,1.0
fig11,dc_bus_voltage_v,6.700000,337.500000,1.0
fig11,dc_bus_voltage_v,6.750000,339.666667,1.0
fig11,dc_bus_voltage_v,6.800000,342.166667,1.0
fig11,dc_bus_voltage_v,6.850000,343.333333,1.0
fig11,dc_bus_voltage_v,6.900000,344.166667,1.0
fig11,dc_bus_voltage_v,6.950000,345.333333,1.0
fig11,dc_bus_voltage_v,7.000000,345.666667,1.0
fig11,dc_bus_voltage_v,7.050000,346.166667,1.0
fig11,dc_bus_voltage_v,7.100000,346.666667,1.0
fig11,dc_bus_voltage_v,7.150000,347.000000,1.0
fig11,dc_bus_voltage_v,7.200000,347.000000,1.0
fig11,dc_bus_voltage_v,7.250000,347.333333,1.0
fig11,dc_bus_voltage_v,7.300000,347.666667,1.0
fig11,dc_bus_voltage_v,7.350000,348.000000,1.0
fig11,dc_bus_voltage_v,7.400000,348.166667,1.0
fig11,dc_bus_voltage_v,7.450000,348.333333,1.0
fig11,dc_bus_voltage_v,7.500000,348.666667,1.0
fig11,dc_bus_voltage_v,7.550000,349.000000,1.0
fig11,dc_bus_voltage_v,7.600000,349.000000,1.0
fig11,dc_bus_voltage_v,7.650000,349.000000,1.0
fig11,dc_bus_voltage_v,7.700000,349.000000,1.0
fig11,dc_bus_voltage_v,7.750000,349.000000,1.0
fig11,dc_bus_voltage_v,7.800000,349.000000,1.0
fig11,dc_bus_voltage_v,7.850000,349.000000,1.0
fig11,dc_bus_voltage_v,7.900000,349.000000,1.0
fig11,dc_bus_voltage_v,7.950000,349.000000,1.0
fig11,dc_bus_voltage_v,8.000000,349.000000,1.0
fig11,dc_bus_voltage_v,8.050000,349.000000,1.0
fig11,dc_bus_voltage_v,8.100000,349.000000,1.0
fig11,dc_bus_voltage_v,8.150000,349.000000,1.0
fig11,dc_bus_voltage_v,8.200000,349.000000,1.0
fig11,dc_bus_voltage_v,8.250000,349.000000,1.0
fig11,dc_bus_voltage_v,8.300000,349.000000,1.0
fig11,dc_bus_voltage_v,8.350000,349.000000,1.0
fig11,dc_bus_voltage_v,8.400000,349.000000,1.0
fig11,dc_bus_voltage_v,8.450000,349.000000,1.0
fig11,dc_bus_voltage_v,8.500000,349.000000,1.0
fig11,dc_bus_voltage_v,8.550000,349.000000,1.0
fig11,dc_bus_voltage_v,8.600000,349.000000,1.0
fig11,dc_bus_voltage_v,8.650000,349.000000,1.0
fig11,dc_bus_voltage_v,8.700000,349.000000,1.0
fig11,dc_bus_voltage_v,8.750000,349.000000,1.0
fig11,dc_bus_voltage_v,8.800000,349.000000,1.0
fig11,dc_bus_voltage_v,8.850000,349.000000,1.0
fig11,dc_bus_voltage_v,8.900000,349.000000,1.0
fig11,dc_bus_voltage_v,8.950000,349.000000,1.0
fig11,dc_bus_voltage_v,9.000000,349.000000,1.0
fig11,dc_bus_voltage_v,9.050000,349.000000,1.0
fig11,dc_bus_voltage_v,9.100000,349.000000,1.0
fig11,dc_bus_voltage_v,9.150000,349.000000,1.0
fig11,dc_bus_voltage_v,9.200000,349.000000,1.0
fig11,dc_bus_voltage_v,9.250000,349.000000,1.0
fig11,dc_bus_voltage_v,9.300000,349.000000,1.0
fig11,dc_bus_voltage_v,9.350000,349.000000,1.0
fig11,dc_bus_voltage_v,9.400000,349.000000,1.0
fig11,dc_bus_voltage_v,9.450000,349.000000,1.0
fig11,dc_bus_voltage_v,9.500000,349.000000,1.0
fig11,dc_bus_voltage_v,9.550000,349.000000,1.0
fig11,dc_bus_voltage_v,9.600000,349.000000,1.0
fig11,dc_bus_voltage_v,9.650000,349.000000,1.0
fig11,dc_bus_voltage_v,9.700000,349.000000,1.0
fig11,dc_bus_voltage_v,9.750000,349.000000,1.0
fig11,dc_bus_voltage_v,9.800000,349.000000,1.0
fig11,dc_bus_voltage_v,9.850000,349.000000,1.0
fig11,dc_bus_voltage_v,9.900000,349.000000,1.0
fig11,dc_bus_voltage_v,9.950000,349.000000,1.0
fig11,dc_bus_voltage_v,10.000000,349.000000,1.0
