figure,channel,time,value,weight
fig11,dump_load_current_a,4.000000,8.333333,1.0
fig11,dump_load_current_a,4.050000,8.333333,1.0
fig11,dump_load_current_a,4.100000,8.333333,1.0
fig11,dump_load_current_a,4.150000,8.333333,1.0
fig11,dump_load_current_a,4.200000,8.333333,1.0
fig11,dump_load_current_a,4.250000,8.333333,1.0
fig11,dump_load_current_a,4.300000,8.333333,1.0
fig11,dump_load_current_a,4.350000,8.333333,1.0
fig11,dump_load_current_a,4.400000,8.333333,1.0
fig11,dump_load_current_a,4.450000,8.333333,1.0
fig11,dump_load_current_a,4.500000,8.333333,1.0
fig11,dump_load_current_a,4.550000,8.333333,1.0
fig11,dump_load_current_a,4.600000,8.333333,1.0
fig11,dump_load_current_a,4.650000,8.333333,1.0
fig11,dump_load_current_a,4.700000,8.333333,1.0
fig11,dump_load_current_a,4.750000,8.333333,1.0
fig11,dump_load_current_a,4.800000,8.333333,1.0
fig11,dump_load_current_a,4.850000,8.333333,1.0
fig11,dump_load_current_a,4.900000,10.000000,1.0
fig11,dump_load_current_a,4.950000,8.333333,1.0
fig11,dump_load_current_a,5.000000,8.333333,1.0
fig11,dump_load_current_a,5.050000,8.333333,1.0
fig11,dump_load_current_a,5.100000,8.333333,1.0
fig11,dump_load_current_a,5.150000,8.333333,1.0
fig11,dump_load_current_a,5.200000,8.333333,1.0
fig11,dump_load_current_a,5.250000,8.333333,1.0
fig11,dump_load_current_a,5.300000,8.333333,1.0
fig11,dump_load_current_a,5.350000,8.333333,1.0
fig11,dump_load_current_a,5.400000,8.333333,1.0
fig11,dump_load_current_a,5.450000,8.333333,1.0
fig11,dump_load_current_a,5.500000,8.333333,1.0
fig11,dump_load_current_a,5.550000,8.333333,1.0
fig11,dump_load_current_a,5.600000,8.333333,1.0
fig11,dump_load_current_a,5.650000,8.333333,1.0
fig11,dump_load_current_a,5.700000,8.333333,1.0
fig11,dump_load_current_a,5.750000,8.333333,1.0
fig11,dump_load_current_a,5.800000,10.000000,1.0
