figure,channel,time,value,weight
fig9,battery_current_a,2.000000,-37.368421,1.0
fig9,battery_current_a,2.100000,-37.368421,1.0
fig9,battery_current_a,2.200000,-38.947368,1.0
fig9,battery_current_a,2.300000,-38.947368,1.0
fig9,battery_current_a,2.400000,-38.947368,1.0
fig9,battery_current_a,2.500000,-37.368421,1.0
fig9,battery_current_a,2.600000,-37.368421,1.0
fig9,battery_current_a,2.700000,-37.368421,1.0
fig9,battery_current_a,2.800000,-38.947368,1.0
fig9,battery_current_a,2.900000,-37.368421,1.0
fig9,battery_current_a,3.000000,-38.947368,1.0
fig9,battery_current_a,3.100000,-37.368421,1.0
fig9,battery_current_a,3.200000,-37.368421,1.0
fig9,battery_current_a,3.300000,-37.368421,1.0
fig9,battery_current_a,3.400000,-38.947368,1.0
fig9,battery_current_a,3.500000,-35.789474,1.0
fig9,battery_current_a,3.600000,-35.789474,1.0
fig9,battery_current_a,3.700000,-37.368421,1.0
fig9,battery_current_a,3.800000,-37.368421,1.0
fig9,battery_current_a,3.900000,-37.368421,1.0
fig9,battery_current_a,4.000000,-37.368421,1.0
fig9,battery_current_a,4.100000,-37.368421,1.0
fig9,battery_current_a,4.200000,-35.789474,1.0
fig9,battery_current_a,4.300000,-37.368421,1.0
fig9,battery_current_a,4.400000,-37.368421,1.0
fig9,battery_current_a,4.500000,-37.368421,1.0
fig9,battery_current_a,4.600000,-37.368421,1.0
fig9,battery_current_a,4.700000,-37.368421,1.0
fig9,battery_current_a,4.800000,-37.368421,1.0
fig9,battery_current_a,4.900000,-35.789474,1.0
fig9,battery_current_a,5.000000,-35.789474,1.0
fig9,battery_current_a,5.100000,-38.947368,1.0
fig9,battery_current_a,5.200000,-37.368421,1.0
fig9,battery_current_a,5.300000,-37.368421,1.0
fig9,battery_current_a,5.400000,-37.368421,1.0
fig9,battery_current_a,5.500000,-37.368421,1.0
fig9,battery_current_a,5.600000,-37.368421,1.0
fig9,battery_current_a,5.700000,-38.947368,1.0
fig9,battery_current_a,5.800000,-37.368421,1.0
fig9,battery_current_a,5.900000,-38.947368,1.0
fig9,battery_current_a,6.000000,-38.947368,1.0
fig9,battery_current_a,6.100000,-38.947368,1.0
fig9,battery_current_a,6.200000,-37.368421,1.0
fig9,battery_current_a,6.300000,-37.368421,1.0
fig9,battery_current_a,6.400000,-37.368421,1.0
fig9,battery_current_a,6.500000,-37.368421,1.0
fig9,battery_current_a,6.600000,-37.368421,1.0
fig9,battery_current_a,6.700000,-37.368421,1.0
fig9,battery_current_a,6.800000,-70.526316,1.0
fig9,battery_current_a,6.900000,-61.052632,1.0
fig9,battery_current_a,7.000000,-94.210526,1.0
fig9,battery_current_a,7.100000,-92.631579,1.0
fig9,battery_current_a,7.200000,-92.631579,1.0
fig9,battery_current_a,7.300000,-98.947368,1.0
fig9,battery_current_a,7.400000,-103.684211,1.0
fig9,battery_current_a,7.500000,-122.631579,1.0
fig9,battery_current_a,7.600000,-143.157895,1.0
fig9,battery_current_a,7.700000,-157.368421,1.0
fig9,battery_current_a,7.800000,-168.421053,1.0
fig9,battery_current_a,7.900000,-179.473684,1.0
fig9,battery_current_a,8.000000,-181.052632,1.0
fig9,battery_current_a,8.100000,-181.052632,1.0
fig9,battery_current_a,8.200000,-177.894737,1.0
fig9,battery_current_a,8.300000,-174.736842,1.0
fig9,battery_current_a,8.400000,-170.000000,1.0
fig9,battery_current_a,8.500000,-163.684211,1.0
fig9,battery_current_a,8.600000,-162.105263,1.0
fig9,battery_current_a,8.700000,-160.526316,1.0
fig9,battery_current_a,8.800000,-160.526316,1.0
fig9,battery_current_a,8.900000,-130.526316,1.0
fig9,battery_current_a,9.000000,-111.578947,1.0
fig9,battery_current_a,9.100000,-114.736842,1.0
fig9,battery_current_a,9.200000,-114.736842,1.0
fig9,battery_current_a,9.300000,-114.736842,1.0
fig9,battery_current_a,9.400000,-113.157895,1.0
fig9,battery_current_a,9.500000,-111.578947,1.0
fig9,battery_current_a,9.600000,-111.578947,1.0
fig9,battery_current_a,9.700000,-111.578947,1.0
fig9,battery_current_a,9.800000,-111.578947,1.0
fig9,battery_current_a,9.900000,-111.578947,1.0
fig9,battery_current_a,10.000000,-111.578947,1.0
fig9,battery_current_a,10.100000,-111.578947,1.0
fig9,battery_current_a,10.200000,-111.578947,1.0
fig9,battery_current_a,10.300000,-113.157895,1.0
fig9,battery_current_a,10.400000,-113.157895,1.0
fig9,battery_current_a,10.500000,-113.157895,1.0
fig9,battery_current_a,10.600000,-45.263158,1.0
fig9,battery_current_a,10.700000,14.736842,1.0
fig9,battery_current_a,10.800000,14.736842,1.0
fig9,battery_current_a,10.900000,19.473684,1.0
fig9,battery_current_a,11.000000,25.789474,1.0
fig9,battery_current_a,11.100000,28.947368,1.0
fig9,battery_current_a,11.200000,35.263158,1.0
fig9,battery_current_a,11.300000,38.421053,1.0
fig9,battery_current_a,11.400000,40.000000,1.0
fig9,battery_current_a,11.500000,41.578947,1.0
