figure,channel,time,value,weight
fig9,frequency_hz,2.000000,60.101064,1.0
fig9,frequency_hz,2.100000,60.095745,1.0
fig9,frequency_hz,2.200000,60.095745,1.0
fig9,frequency_hz,2.300000,60.095745,1.0
fig9,frequency_hz,2.400000,60.095745,1.0
fig9,frequency_hz,2.500000,60.095745,1.0
fig9,frequency_hz,2.600000,60.095745,1.0
fig9,frequency_hz,2.700000,60.095745,1.0
fig9,frequency_hz,2.800000,60.095745,1.0
fig9,frequency_hz,2.900000,60.095745,1.0
fig9,frequency_hz,3.000000,60.095745,1.0
fig9,frequency_hz,3.100000,60.095745,1.0
fig9,frequency_hz,3.200000,60.095745,1.0
fig9,frequency_hz,3.300000,60.095745,1.0
fig9,frequency_hz,3.400000,60.095745,1.0
fig9,frequency_hz,3.500000,60.095745,1.0
fig9,frequency_hz,3.600000,60.095745,1.0
fig9,frequency_hz,3.700000,60.095745,1.0
fig9,frequency_hz,3.800000,60.095745,1.0
fig9,frequency_hz,3.900000,60.095745,1.0
fig9,frequency_hz,4.000000,60.095745,1.0
fig9,frequency_hz,4.100000,60.095745,1.0
fig9,frequency_hz,4.200000,60.095745,1.0
fig9,frequency_hz,4.300000,60.095745,1.0
fig9,frequency_hz,4.400000,60.095745,1.0
fig9,frequency_hz,4.500000,60.095745,1.0
fig9,frequency_hz,4.600000,60.095745,1.0
fig9,frequency_hz,4.700000,60.095745,1.0
fig9,frequency_hz,4.800000,60.095745,1.0
fig9,frequency_hz,4.900000,60.095745,1.0
fig9,frequency_hz,5.000000,60.095745,1.0
fig9,frequency_hz,5.100000,60.095745,1.0
fig9,frequency_hz,5.200000,60.095745,1.0
fig9,frequency_hz,5.300000,60.095745,1.0
fig9,frequency_hz,5.400000,60.095745,1.0
fig9,frequency_hz,5.500000,60.095745,1.0
fig9,frequency_hz,5.600000,60.095745,1.0
fig9,frequency_hz,5.700000,60.095745,1.0
fig9,frequency_hz,5.800000,60.095745,1.0
fig9,frequency_hz,5.900000,60.095745,1.0
fig9,frequency_hz,6.000000,60.095745,1.0
fig9,frequency_hz,6.100000,60.095745,1.0
fig9,frequency_hz,6.200000,60.095745,1.0
fig9,frequency_hz,6.300000,60.095745,1.0
fig9,frequency_hz,6.400000,60.095745,1.0
fig9,frequency_hz,6.500000,60.095745,1.0
fig9,frequency_hz,6.600000,60.095745,1.0
fig9,frequency_hz,6.700000,60.095745,1.0
fig9,frequency_hz,6.800000,60.106383,1.0
fig9,frequency_hz,6.900000,60.101064,1.0
fig9,frequency_hz,7.000000,60.090426,1.0
fig9,frequency_hz,7.100000,60.101064,1.0
fig9,frequency_hz,7.200000,60.095745,1.0
fig9,frequency_hz,7.300000,60.095745,1.0
fig9,frequency_hz,7.400000,60.095745,1.0
fig9,frequency_hz,7.500000,60.095745,1.0
fig9,frequency_hz,7.600000,60.095745,1.0
fig9,frequency_hz,7.700000,60.095745,1.0
fig9,frequency_hz,7.800000,60.095745,1.0
fig9,frequency_hz,7.900000,60.095745,1.0
fig9,frequency_hz,8.000000,60.095745,1.0
fig9,frequency_hz,8.100000,60.095745,1.0
fig9,frequency_hz,8.200000,60.095745,1.0
fig9,frequency_hz,8.300000,60.095745,1.0
fig9,frequency_hz,8.400000,60.095745,1.0
fig9,frequency_hz,8.500000,60.095745,1.0
fig9,frequency_hz,8.600000,60.095745,1.0
fig9,frequency_hz,8.700000,60.095745,1.0
fig9,frequency_hz,8.800000,60.095745,1.0
fig9,frequency_hz,8.900000,60.079787,1.0
fig9,frequency_hz,9.000000,60.101064,1.0
fig9,frequency_hz,9.100000,60.095745,1.0
fig9,frequency_hz,9.200000,60.095745,1.0
fig9,frequency_hz,9.300000,60.095745,1.0
fig9,frequency_hz,9.400000,60.095745,1.0
fig9,frequency_hz,9.500000,60.095745,1.0
fig9,frequency_hz,9.600000,60.095745,1.0
fig9,frequency_hz,9.700000,60.095745,1.0
fig9,frequency_hz,9.800000,60.095745,1.0
fig9,frequency_hz,9.900000,60.095745,1.0
fig9,frequency_hz,10.000000,60.095745,1.0
fig9,frequency_hz,10.100000,60.095745,1.0
fig9,frequency_hz,10.200000,60.095745,1.0
fig9,frequency_hz,10.300000,60.095745,1.0
fig9,frequency_hz,10.400000,60.095745,1.0
fig9,frequency_hz,10.500000,60.095745,1.0
fig9,frequency_hz,10.600000,59.930851,1.0
fig9,frequency_hz,10.700000,60.148936,1.0
fig9,frequency_hz,10.800000,60.101064,1.0
fig9,frequency_hz,10.900000,60.095745,1.0
fig9,frequency_hz,11.000000,60.095745,1.0
fig9,frequency_hz,11.100000,60.095745,1.0
fig9,frequency_hz,11.200000,60.095745,1.0
fig9,frequency_hz,11.300000,60.095745,1.0
fig9,frequency_hz,11.400000,60.095745,1.0
fig9,frequency_hz,11.500000,60.095745,1.0
fig9,frequency_hz,11.600000,60.095745,1.0
fig9,frequency_hz,11.700000,60.095745,1.0
fig9,frequency_hz,11.800000,60.095745,1.0
fig9,frequency_hz,11.900000,60.095745,1.0
fig9,frequency_hz,12.000000,60.095745,1.0
fig9,frequency_hz,12.100000,60.095745,1.0
fig9,frequency_hz,12.200000,60.095745,1.0
fig9,frequency_hz,12.300000,60.095745,1.0
fig9,frequency_hz,12.400000,60.095745,1.0
fig9,frequency_hz,12.500000,60.095745,1.0
fig9,frequency_hz,12.600000,60.095745,1.0
