figure,channel,time,value,weight
fig9,load_power_kw,2.000000,43.668421,1.0
fig9,load_power_kw,2.100000,43.668421,1.0
fig9,load_power_kw,2.200000,43.273684,1.0
fig9,load_power_kw,2.300000,43.273684,1.0
fig9,load_power_kw,2.400000,43.273684,1.0
fig9,load_power_kw,2.500000,43.668421,1.0
fig9,load_power_kw,2.600000,43.668421,1.0
fig9,load_power_kw,2.700000,43.668421,1.0
fig9,load_power_kw,2.800000,43.273684,1.0
fig9,load_power_kw,2.900000,43.668421,1.0
fig9,load_power_kw,3.000000,43.273684,1.0
fig9,load_power_kw,3.100000,43.668421,1.0
fig9,load_power_kw,3.200000,43.668421,1.0
fig9,load_power_kw,3.300000,43.668421,1.0
fig9,load_power_kw,3.400000,43.273684,1.0
fig9,load_power_kw,3.500000,44.063158,1.0
fig9,load_power_kw,3.600000,44.063158,1.0
fig9,load_power_kw,3.700000,43.668421,1.0
fig9,load_power_kw,3.800000,43.668421,1.0
fig9,load_power_kw,3.900000,43.668421,1.0
fig9,load_power_kw,4.000000,43.668421,1.0
fig9,load_power_kw,4.100000,43.668421,1.0
fig9,load_power_kw,4.200000,44.063158,1.0
fig9,load_power_kw,4.300000,43.668421,1.0
fig9,load_power_kw,4.400000,43.668421,1.0
fig9,load_power_kw,4.500000,43.668421,1.0
fig9,load_power_kw,4.600000,43.668421,1.0
fig9,load_power_kw,4.700000,43.668421,1.0
fig9,load_power_kw,4.800000,43.668421,1.0
fig9,load_power_kw,4.900000,44.063158,1.0
fig9,load_power_kw,5.000000,44.063158,1.0
fig9,load_power_kw,5.100000,43.273684,1.0
fig9,load_power_kw,5.200000,43.668421,1.0
fig9,load_power_kw,5.300000,43.668421,1.0
fig9,load_power_kw,5.400000,43.668421,1.0
fig9,load_power_kw,5.500000,43.668421,1.0
fig9,load_power_kw,5.600000,43.668421,1.0
fig9,load_power_kw,5.700000,43.273684,1.0
fig9,load_power_kw,5.800000,43.668421,1.0
fig9,load_power_kw,5.900000,43.273684,1.0
fig9,load_power_kw,6.000000,43.273684,1.0
fig9,load_power_kw,6.100000,43.273684,1.0
fig9,load_power_kw,6.200000,43.668421,1.0
fig9,load_power_kw,6.300000,43.668421,1.0
fig9,load_power_kw,6.400000,43.668421,1.0
fig9,load_power_kw,6.500000,43.668421,1.0
fig9,load_power_kw,6.600000,43.668421,1.0
fig9,load_power_kw,6.700000,43.668421,1.0
fig9,load_power_kw,6.800000,35.378947,1.0
fig9,load_power_kw,6.900000,37.747368,1.0
fig9,load_power_kw,7.000000,29.457895,1.0
fig9,load_power_kw,7.100000,29.852632,1.0
fig9,load_power_kw,7.200000,30.400000,1.0
fig9,load_power_kw,7.300000,31.010527,1.0
fig9,load_power_kw,7.400000,32.563158,1.0
fig9,load_power_kw,7.500000,36.036842,1.0
fig9,load_power_kw,7.600000,40.757895,1.0
fig9,load_power_kw,7.700000,41.857895,1.0
fig9,load_power_kw,7.800000,46.210526,1.0
fig9,load_power_kw,7.900000,47.278948,1.0
fig9,load_power_kw,8.000000,48.252632,1.0
fig9,load_power_kw,8.100000,48.252632,1.0
