figure,channel,time,value,weight
fig9,load_voltage_magnitude_v,2.100000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.200000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.300000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.400000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.500000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.600000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.700000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.800000,375.217391,1.0
fig9,load_voltage_magnitude_v,2.900000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.000000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.100000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.200000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.300000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.400000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.500000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.600000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.700000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.800000,375.217391,1.0
fig9,load_voltage_magnitude_v,3.900000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.000000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.100000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.200000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.300000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.400000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.500000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.600000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.700000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.800000,375.217391,1.0
fig9,load_voltage_magnitude_v,4.900000,375.217391,1.0
fig9,load_voltage_magnitude_v,5.000000,375.217391,1.0
fig9,load_voltage_magnitude_v,5.100000,375.217391,1.0
fig9,load_voltage_magnitude_v,5.200000,375.217391,1.0
