figure,channel,time,value,weight
fig9,soc_percent,2.000000,69.927234,1.0
fig9,soc_percent,2.100000,69.927234,1.0
fig9,soc_percent,2.200000,69.928085,1.0
fig9,soc_percent,2.300000,69.928085,1.0
fig9,soc_percent,2.400000,69.928511,1.0
fig9,soc_percent,2.500000,69.928936,1.0
fig9,soc_percent,2.600000,69.928936,1.0
fig9,soc_percent,2.700000,69.929362,1.0
fig9,soc_percent,2.800000,69.929787,1.0
fig9,soc_percent,2.900000,69.929787,1.0
fig9,soc_percent,3.000000,69.930213,1.0
fig9,soc_percent,3.100000,69.930213,1.0
fig9,soc_percent,3.200000,69.931064,1.0
fig9,soc_percent,3.300000,69.931064,1.0
fig9,soc_percent,3.400000,69.931489,1.0
fig9,soc_percent,3.500000,69.931915,1.0
fig9,soc_percent,3.600000,69.931915,1.0
fig9,soc_percent,3.700000,69.932340,1.0
fig9,soc_percent,3.800000,69.932340,1.0
fig9,soc_percent,3.900000,69.932766,1.0
fig9,soc_percent,4.000000,69.933191,1.0
fig9,soc_percent,4.100000,69.933191,1.0
fig9,soc_percent,4.200000,69.933617,1.0
fig9,soc_percent,4.300000,69.934043,1.0
fig9,soc_percent,4.400000,69.934043,1.0
fig9,soc_percent,4.500000,69.934468,1.0
fig9,soc_percent,4.600000,69.934894,1.0
fig9,soc_percent,4.700000,69.934894,1.0
fig9,soc_percent,4.800000,69.935319,1.0
fig9,soc_percent,4.900000,69.935745,1.0
fig9,soc_percent,5.000000,69.935745,1.0
fig9,soc_percent,5.100000,69.936596,1.0
fig9,soc_percent,5.200000,69.936596,1.0
fig9,soc_percent,5.300000,69.936596,1.0
fig9,soc_percent,5.400000,69.937021,1.0
fig9,soc_percent,5.500000,69.937021,1.0
fig9,soc_percent,5.600000,69.937447,1.0
fig9,soc_percent,5.700000,69.937447,1.0
fig9,soc_percent,5.800000,69.937872,1.0
fig9,soc_percent,5.900000,69.938298,1.0
fig9,soc_percent,6.000000,69.938723,1.0
fig9,soc_percent,6.100000,69.939149,1.0
fig9,soc_percent,6.200000,69.939574,1.0
fig9,soc_percent,6.300000,69.939574,1.0
fig9,soc_percent,6.400000,69.940000,1.0
fig9,soc_percent,6.500000,69.940426,1.0
fig9,soc_percent,6.600000,69.940426,1.0
fig9,soc_percent,6.700000,69.940851,1.0
fig9,soc_percent,6.800000,69.941277,1.0
fig9,soc_percent,6.900000,69.941702,1.0
fig9,soc_percent,7.000000,69.942979,1.0
fig9,soc_percent,7.100000,69.943830,1.0
fig9,soc_percent,7.200000,69.944681,1.0
fig9,soc_percent,7.300000,69.945532,1.0
fig9,soc_percent,7.400000,69.946383,1.0
fig9,soc_percent,7.500000,69.947660,1.0
fig9,soc_percent,7.600000,69.949362,1.0
fig9,soc_percent,7.700000,69.950213,1.0
fig9,soc_percent,7.800000,69.952766,1.0
fig9,soc_percent,7.900000,69.954468,1.0
fig9,soc_percent,8.000000,69.956170,1.0
fig9,soc_percent,8.100000,69.958723,1.0
fig9,soc_percent,8.200000,69.960851,1.0
fig9,soc_percent,8.300000,69.962128,1.0
fig9,soc_percent,8.400000,69.964255,1.0
fig9,soc_percent,8.500000,69.966383,1.0
fig9,soc_percent,8.600000,69.967234,1.0
fig9,soc_percent,8.700000,69.969787,1.0
fig9,soc_percent,8.800000,69.970638,1.0
fig9,soc_percent,8.900000,69.971915,1.0
fig9,soc_percent,9.000000,69.974043,1.0
fig9,soc_percent,9.100000,69.974043,1.0
fig9,soc_percent,9.200000,69.976170,1.0
fig9,soc_percent,9.300000,69.977447,1.0
fig9,soc_percent,9.400000,69.977872,1.0
fig9,soc_percent,9.500000,69.979574,1.0
fig9,soc_percent,9.600000,69.981277,1.0
fig9,soc_percent,9.700000,69.981702,1.0
fig9,soc_percent,9.800000,69.982979,1.0
fig9,soc_percent,9.900000,69.982979,1.0
fig9,soc_percent,10.000000,69.985532,1.0
fig9,soc_percent,10.100000,69.986383,1.0
fig9,soc_percent,10.200000,69.986383,1.0
fig9,soc_percent,10.300000,69.991064,1.0
fig9,soc_percent,10.400000,69.991064,1.0
fig9,soc_percent,10.500000,69.991064,1.0
fig9,soc_percent,10.600000,69.991915,1.0
fig9,soc_percent,10.700000,69.991489,1.0
fig9,soc_percent,10.800000,69.991064,1.0
fig9,soc_percent,10.900000,69.991064,1.0
fig9,soc_percent,11.000000,69.990638,1.0
fig9,soc_percent,11.100000,69.990213,1.0
fig9,soc_percent,11.200000,69.989362,1.0
fig9,soc_percent,11.300000,69.988936,1.0
fig9,soc_percent,11.400000,69.988511,1.0
fig9,soc_percent,11.500000,69.987660,1.0
fig9,soc_percent,11.600000,69.987660,1.0
fig9,soc_percent,11.700000,69.986809,1.0
fig9,soc_percent,11.800000,69.985532,1.0
fig9,soc_percent,11.900000,69.985106,1.0
fig9,soc_percent,12.000000,69.984681,1.0
fig9,soc_percent,12.100000,69.983830,1.0
fig9,soc_percent,12.200000,69.983404,1.0
fig9,soc_percent,12.300000,69.982553,1.0
fig9,soc_percent,12.400000,69.982553,1.0
fig9,soc_percent,12.500000,69.981277,1.0
fig9,soc_percent,12.600000,69.980426,1.0
fig9,soc_percent,12.700000,69.980000,1.0
fig9,soc_percent,12.800000,69.979149,1.0
fig9,soc_percent,12.900000,69.978298,1.0
fig9,soc_percent,13.000000,69.977872,1.0
fig9,soc_percent,13.100000,69.977021,1.0
fig9,soc_percent,13.200000,69.975745,1.0
fig9,soc_percent,13.300000,69.975319,1.0
fig9,soc_percent,13.400000,69.974043,1.0
fig9,soc_percent,13.500000,69.974043,1.0
fig9,soc_percent,13.600000,69.973191,1.0
fig9,soc_percent,13.700000,69.971915,1.0
fig9,soc_percent,13.800000,69.971064,1.0
fig9,soc_percent,13.900000,69.969787,1.0
fig9,soc_percent,14.000000,69.968936,1.0
fig9,soc_percent,14.100000,69.968511,1.0
fig9,soc_percent,14.200000,69.967234,1.0
fig9,soc_percent,14.300000,69.965957,1.0
fig9,soc_percent,14.400000,69.965532,1.0
fig9,soc_percent,14.500000,69.963404,1.0
fig9,soc_percent,14.600000,69.963404,1.0
fig9,soc_percent,14.700000,69.962553,1.0
fig9,soc_percent,14.800000,69.960851,1.0
fig9,soc_percent,14.900000,69.960000,1.0
fig9,soc_percent,15.000000,69.959149,1.0
fig9,soc_percent,15.100000,69.957872,1.0
fig9,soc_percent,15.200000,69.957447,1.0
fig9,soc_percent,15.300000,69.955745,1.0
fig9,soc_percent,15.400000,69.954468,1.0
fig9,soc_percent,15.500000,69.953617,1.0
fig9,soc_percent,15.600000,69.952340,1.0
fig9,soc_percent,15.700000,69.950638,1.0
fig9,soc_percent,15.800000,69.950638,1.0
fig9,soc_percent,15.900000,69.948936,1.0
fig9,soc_percent,16.000000,69.948511,1.0
fig9,soc_percent,16.100000,69.947234,1.0
fig9,soc_percent,16.200000,69.945957,1.0
fig9,soc_percent,16.300000,69.945532,1.0
fig9,soc_percent,16.400000,69.943830,1.0
fig9,soc_percent,16.500000,69.942979,1.0
fig9,soc_percent,16.600000,69.942128,1.0
fig9,soc_percent,16.700000,69.941277,1.0
fig9,soc_percent,16.800000,69.940000,1.0
fig9,soc_percent,16.900000,69.939574,1.0
fig9,soc_percent,17.000000,69.938723,1.0
fig9,soc_percent,17.100000,69.938298,1.0
fig9,soc_percent,17.200000,69.937447,1.0
fig9,soc_percent,17.300000,69.936596,1.0
fig9,soc_percent,17.400000,69.936596,1.0
fig9,soc_percent,17.500000,69.935745,1.0
fig9,soc_percent,17.600000,69.935319,1.0
fig9,soc_percent,17.700000,69.934894,1.0
fig9,soc_percent,17.800000,69.934468,1.0
fig9,soc_percent,17.900000,69.934043,1.0
fig9,soc_percent,18.000000,69.934468,1.0
fig9,soc_percent,18.100000,69.934894,1.0
fig9,soc_percent,18.200000,69.935319,1.0
fig9,soc_percent,18.300000,69.935319,1.0
fig9,soc_percent,18.400000,69.936170,1.0
fig9,soc_percent,18.500000,69.936596,1.0
fig9,soc_percent,18.600000,69.936596,1.0
fig9,soc_percent,18.700000,69.937021,1.0
fig9,soc_percent,18.800000,69.937447,1.0
fig9,soc_percent,18.900000,69.937021,1.0
fig9,soc_percent,19.000000,69.938298,1.0
fig9,soc_percent,19.100000,69.938298,1.0
fig9,soc_percent,19.200000,69.938723,1.0
fig9,soc_percent,19.300000,69.939149,1.0
fig9,soc_percent,19.400000,69.939574,1.0
fig9,soc_percent,19.500000,69.940000,1.0
fig9,soc_percent,19.600000,69.940000,1.0
fig9,soc_percent,19.700000,69.940426,1.0
fig9,soc_percent,19.800000,69.940851,1.0
fig9,soc_percent,19.900000,69.940000,1.0
fig9,soc_percent,20.000000,69.940000,1.0
