figure,channel,time,value,weight
fig9,wind_current_a,2.000000,5.789474,1.0
fig9,wind_current_a,2.100000,5.789474,1.0
fig9,wind_current_a,2.200000,5.789474,1.0
fig9,wind_current_a,2.300000,5.789474,1.0
fig9,wind_current_a,2.400000,5.789474,1.0
fig9,wind_current_a,2.500000,5.789474,1.0
fig9,wind_current_a,2.600000,5.789474,1.0
fig9,wind_current_a,2.700000,5.789474,1.0
fig9,wind_current_a,2.800000,5.789474,1.0
fig9,wind_current_a,2.900000,5.789474,1.0
fig9,wind_current_a,3.000000,5.789474,1.0
fig9,wind_current_a,3.100000,5.789474,1.0
fig9,wind_current_a,3.200000,5.789474,1.0
fig9,wind_current_a,3.300000,5.789474,1.0
fig9,wind_current_a,3.400000,5.789474,1.0
fig9,wind_current_a,3.500000,5.789474,1.0
fig9,wind_current_a,3.600000,5.789474,1.0
fig9,wind_current_a,3.700000,5.789474,1.0
fig9,wind_current_a,3.800000,5.789474,1.0
fig9,wind_current_a,3.900000,5.789474,1.0
fig9,wind_current_a,4.000000,5.789474,1.0
fig9,wind_current_a,4.100000,5.789474,1.0
fig9,wind_current_a,4.200000,5.789474,1.0
fig9,wind_current_a,4.300000,5.789474,1.0
fig9,wind_current_a,4.400000,5.789474,1.0
fig9,wind_current_a,4.500000,5.789474,1.0
fig9,wind_current_a,4.600000,5.789474,1.0
fig9,wind_current_a,4.700000,5.789474,1.0
fig9,wind_current_a,4.800000,5.789474,1.0
fig9,wind_current_a,4.900000,5.789474,1.0
fig9,wind_current_a,5.000000,5.789474,1.0
fig9,wind_current_a,5.100000,5.789474,1.0
fig9,wind_current_a,5.200000,5.789474,1.0
fig9,wind_current_a,5.300000,5.789474,1.0
fig9,wind_current_a,5.400000,5.789474,1.0
fig9,wind_current_a,5.500000,5.789474,1.0
fig9,wind_current_a,5.600000,5.789474,1.0
fig9,wind_current_a,5.700000,5.789474,1.0
fig9,wind_current_a,5.800000,5.789474,1.0
fig9,wind_current_a,5.900000,5.789474,1.0
fig9,wind_current_a,6.000000,5.789474,1.0
fig9,wind_current_a,6.100000,5.789474,1.0
fig9,wind_current_a,6.200000,5.789474,1.0
fig9,wind_current_a,6.300000,5.789474,1.0
fig9,wind_current_a,6.400000,5.789474,1.0
fig9,wind_current_a,6.500000,5.789474,1.0
fig9,wind_current_a,6.600000,5.789474,1.0
fig9,wind_current_a,6.700000,5.789474,1.0
fig9,wind_current_a,6.800000,5.789474,1.0
fig9,wind_current_a,6.900000,5.789474,1.0
fig9,wind_current_a,7.000000,5.789474,1.0
fig9,wind_current_a,7.100000,5.789474,1.0
fig9,wind_current_a,7.200000,6.842105,1.0
fig9,wind_current_a,7.300000,11.052632,1.0
fig9,wind_current_a,7.400000,16.315789,1.0
fig9,wind_current_a,7.500000,32.105263,1.0
fig9,wind_current_a,7.600000,51.052632,1.0
fig9,wind_current_a,7.700000,60.000000,1.0
fig9,wind_current_a,7.800000,73.684211,1.0
fig9,wind_current_a,7.900000,81.052632,1.0
fig9,wind_current_a,8.000000,83.684211,1.0
fig9,wind_current_a,8.100000,83.684211,1.0
